,Unnamed: 0,Instance #,Cluster #,so-time
0,0.0,571.0,4.033333333333333,169.60461626052856
1,1.0,553.0,4.9,188.1673218170802
2,2.0,2505.0,6.833333333333333,901.7100758711497
3,3.0,2825.0,7.033333333333333,1031.1177969535192
4,4.0,2476.0,7.133333333333334,919.413719256719
5,5.0,2825.0,7.266666666666667,1059.3335390329362
6,6.0,1211.0,5.8,411.233949748675
7,7.0,1327.0,5.7,440.34395730495453
8,8.0,1184.0,5.566666666666666,392.0528878450394
9,9.0,1207.0,5.566666666666666,398.1834048430125
10,10.0,5355.0,8.7,2283.6567252953846
11,11.0,6050.0,9.833333333333334,2896.708497794469
12,12.0,5344.0,9.0,2376.236962564786
13,13.0,5385.0,8.766666666666667,2611.941344046593
14,14.0,2585.0,7.0,1130.898122517268
15,15.0,3059.0,7.933333333333334,1449.1015168587367
16,16.0,2630.0,7.433333333333334,1197.1074335892995
17,17.0,2836.0,7.166666666666667,1242.2048525810242
18,18.0,5354.0,8.433333333333334,2537.7895103057226
19,19.0,6097.0,9.233333333333333,3104.6344696919123
20,20.0,5339.0,9.166666666666666,2863.989834856987
21,21.0,5416.0,8.866666666666667,3015.886173256238
22,22.0,2589.0,7.0,1253.9076841513315
23,23.0,3046.0,7.866666666666666,1567.4881288210552
24,24.0,2628.0,7.0,1214.8483280976614
25,25.0,2805.0,7.166666666666667,1316.1232199112574
26,26.0,197.0,3.0,94.62213498751322
27,27.0,195.0,3.066666666666667,96.73100542227427
28,28.0,197.0,3.0,96.30292373498281
29,29.0,231.0,3.566666666666667,111.93952272733053
30,30.0,224.0,3.566666666666667,110.17330020268759
31,31.0,231.0,3.566666666666667,111.04556907018026
32,32.0,70.0,3.0,66.62647387186686
33,33.0,72.0,3.0,66.83750108083089
34,34.0,71.0,3.0,66.47852521737417
35,35.0,59.0,3.0,63.51670497258504
36,36.0,60.0,3.0,64.10973818302155
37,37.0,60.0,3.0,64.09397622744243
38,38.0,568.0,4.566666666666666,231.10692065556844
39,39.0,570.0,4.566666666666666,229.99704079627992
40,40.0,563.0,4.6,229.61893181006113
41,41.0,547.0,4.0,206.20940095583597
42,42.0,551.0,4.3,216.68249516487123
43,43.0,548.0,4.233333333333333,212.40011099179586
44,44.0,570.0,4.0,209.92684281667073
45,45.0,569.0,4.533333333333333,223.42637226581573
46,46.0,550.0,4.233333333333333,207.7618873755137
47,47.0,549.0,4.7,224.14290431340535
