Benchmark,Instance #,mo-time
ICELL8_SE_A_kallisto_umap.csv,571,57.205922373135884
ICELL8_SE_B_kallisto_umap.csv,553,57.069616095225015
10X_LLU_A_cellranger2.0_umap.csv,2505,96.94799546400706
10X_LLU_A_cellranger3.1_umap.csv,2825,103.14284257094066
10X_LLU_A_umitools_umap.csv,2476,97.06836059888204
10X_LLU_A_zumi_umap.csv,2825,105.82910517056783
10X_LLU_B_cellranger2.0_umap.csv,1211,69.83384603659312
10X_LLU_B_cellranger3.1_umap.csv,1327,71.86450397173563
10X_LLU_B_umitools_umap.csv,1184,68.91100591818491
10X_LLU_B_zumi_umap.csv,1207,69.04673078060151
10X_NCI_A_cellranger2.0_umap.csv,5355,171.04502942562104
10X_NCI_A_cellranger3.1_umap.csv,6050,200.20885366598765
10X_NCI_A_umitools_umap.csv,5344,174.08219843705496
10X_NCI_A_zumi_umap.csv,5385,176.893141802152
10X_NCI_B_cellranger2.0_umap.csv,2585,98.81297339598338
10X_NCI_B_cellranger3.1_umap.csv,3059,113.38631077607472
10X_NCI_B_umitools_umap.csv,2630,102.61194330056509
10X_NCI_B_zumi_umap.csv,2836,105.33605797290802
10X_NCI_M_A_cellranger2.0_umap.csv,5354,170.74559013048807
10X_NCI_M_A_cellranger3.1_umap.csv,6097,196.49565742810566
10X_NCI_M_A_umitools_umap.csv,5339,175.57880353927612
10X_NCI_M_A_zumi_umap.csv,5416,175.20879786809286
10X_NCI_M_B_cellranger2.0_umap.csv,2589,99.64759968121847
10X_NCI_M_B_cellranger3.1_umap.csv,3046,112.57875188191731
10X_NCI_M_B_umitools_umap.csv,2628,99.8461574157079
10X_NCI_M_B_zumi_umap.csv,2805,105.77809483210245
C1_FDA_HT_A_featureCounts_umap.csv,197,49.49645779132843
C1_FDA_HT_A_kallisto_umap.csv,195,52.2399172226588
C1_FDA_HT_A_rsem_umap.csv,197,52.217638127009074
C1_FDA_HT_B_featureCounts_umap.csv,231,52.21375723679861
C1_FDA_HT_B_kallisto_umap.csv,224,52.44817037582398
C1_FDA_HT_B_rsem_umap.csv,231,52.627844246228534
C1_LLU_A_featureCounts_umap.csv,70,52.107148218154904
C1_LLU_A_kallisto_umap.csv,72,51.52222968737284
C1_LLU_A_rsem_umap.csv,71,52.2647454102834
C1_LLU_B_featureCounts_umap.csv,59,51.69639844099681
C1_LLU_B_kallisto_umap.csv,60,52.88299245039622
C1_LLU_B_rsem_umap.csv,60,48.81972386042277
ICELL8_PE_A_featureCounts_umap.csv,568,57.45141761302948
ICELL8_PE_A_kallisto_umap.csv,570,56.804008626937865
ICELL8_PE_A_rsem_umap.csv,563,56.828668689727785
ICELL8_PE_B_featureCounts_umap.csv,547,56.49754197597504
ICELL8_PE_B_kallisto_umap.csv,551,56.92641217708588
ICELL8_PE_B_rsem_umap.csv,548,56.97132176558177
ICELL8_SE_A_featureCounts_umap.csv,570,56.68332884311676
ICELL8_SE_A_rsem_umap.csv,569,57.11261489391327
ICELL8_SE_B_featureCounts_umap.csv,550,57.004773426055905
ICELL8_SE_B_rsem_umap.csv,549,57.12824034690857
