Benchmark,Instance #,so-time
ICELL8_SE_A_kallisto_umap.csv,571,30.92449968655904
ICELL8_SE_B_kallisto_umap.csv,553,31.744081552823385
10X_LLU_A_cellranger2.0_umap.csv,2505,65.35146332581839
10X_LLU_A_cellranger3.1_umap.csv,2825,71.7631752093633
10X_LLU_A_umitools_umap.csv,2476,65.91663865248363
10X_LLU_A_zumi_umap.csv,2825,72.36652788321177
10X_LLU_B_cellranger2.0_umap.csv,1211,42.333765880266824
10X_LLU_B_cellranger3.1_umap.csv,1327,43.63463691075643
10X_LLU_B_umitools_umap.csv,1184,41.539860145250955
10X_LLU_B_zumi_umap.csv,1207,42.21928740342458
10X_NCI_A_cellranger2.0_umap.csv,5355,128.94461131890614
10X_NCI_A_cellranger3.1_umap.csv,6050,152.04945678710936
10X_NCI_A_umitools_umap.csv,5344,129.43558894793193
10X_NCI_A_zumi_umap.csv,5385,131.886554757754
10X_NCI_B_cellranger2.0_umap.csv,2585,67.04393638769785
10X_NCI_B_cellranger3.1_umap.csv,3059,79.2365325053533
10X_NCI_B_umitools_umap.csv,2630,69.77666325569153
10X_NCI_B_zumi_umap.csv,2836,71.61690177917481
10X_NCI_M_A_cellranger2.0_umap.csv,5354,126.69184482892355
10X_NCI_M_A_cellranger3.1_umap.csv,6097,152.6780522108078
10X_NCI_M_A_umitools_umap.csv,5339,131.73190217812856
10X_NCI_M_A_zumi_umap.csv,5416,130.66440684795379
10X_NCI_M_B_cellranger2.0_umap.csv,2589,67.52053104241689
10X_NCI_M_B_cellranger3.1_umap.csv,3046,80.28801164627075
10X_NCI_M_B_umitools_umap.csv,2628,67.87041762669881
10X_NCI_M_B_zumi_umap.csv,2805,72.5252147356669
C1_FDA_HT_A_featureCounts_umap.csv,197,26.178594493865965
C1_FDA_HT_A_kallisto_umap.csv,195,26.112012887001036
C1_FDA_HT_A_rsem_umap.csv,197,26.078294547398887
C1_FDA_HT_B_featureCounts_umap.csv,231,26.847020268440247
C1_FDA_HT_B_kallisto_umap.csv,224,26.756448197364808
C1_FDA_HT_B_rsem_umap.csv,231,26.813595334688824
C1_LLU_A_featureCounts_umap.csv,70,25.959916480382283
C1_LLU_A_kallisto_umap.csv,72,26.098942867914836
C1_LLU_A_rsem_umap.csv,71,26.07414197921753
C1_LLU_B_featureCounts_umap.csv,59,25.968793098131815
C1_LLU_B_kallisto_umap.csv,60,26.138972250620522
C1_LLU_B_rsem_umap.csv,60,26.106922324498495
ICELL8_PE_A_featureCounts_umap.csv,568,31.509620594978333
ICELL8_PE_A_kallisto_umap.csv,570,31.402880613009135
ICELL8_PE_A_rsem_umap.csv,563,31.385567728678385
ICELL8_PE_B_featureCounts_umap.csv,547,30.42892772356669
ICELL8_PE_B_kallisto_umap.csv,551,30.87383488814036
ICELL8_PE_B_rsem_umap.csv,548,30.792324177424113
ICELL8_SE_A_featureCounts_umap.csv,570,30.65405286947886
ICELL8_SE_A_rsem_umap.csv,569,31.493601687749226
ICELL8_SE_B_featureCounts_umap.csv,550,30.560069998105366
ICELL8_SE_B_rsem_umap.csv,549,31.407073148091634
